G2_0_1,B1949|B781,B608|B605|B606
G84_82_83,B927|B828|B839|B897|B929|B915|B908|B840|B914|B916|B838|B922|B928,B1735|B1734|B1738|B983
G86_84_85,B1735|B1734|B1714|B976|B983|B917|B978|B936|B873|B1708|B818,B1715|B2029|B1855|B2027
G88_86_87,B2029|B2027,B1958|B710|B1707|B1704|B1705
G90_88_89,B1738|B871,B1955|B1720|B1719
G91_79_90,B1715|B858|B949|B1958|B888|B946|B1707|B1283|B854|B836|B987|B835|B911|B860|B856|B889|B1704|B398|B913|B820|B1705|B1728|B939|B865|B910|B400,B1852|B1851
G93_91_92,B1955|B894|B866|B893|B1855|B938|B1852|B940|B859|B857|B1282|B937|B1279|B21|B1851|B1709|B1731,B2018
G95_93_94,B1732|B944|B945|B947|B855|B1719|B951|B2023,B1283|B1282|B1279
G96_68_95,B773|B781,
G98_96_97,B2018|B431,B1992|B1865|B497|B1845|B583|B585|B692|B547
G101_99_100,,
G103_101_102,B1864|B919,B1289|B1288|B1697
G105_103_104,B412|B634,B703|B710|B1725
G107_105_106,B411|B384|B410|B392|B1861,B1952|B919
G109_107_108,B598|B383|B1725|B398|B611|B407,B687|B1282|B1865|B686|B692
G112_110_111,,B687|B608|B605|B606|B686|B692
G114_112_113,B671|B676|B683|B606|B673|B702|B674,B1283|B1282|B650|B1279|B647|B649|B645|B583|B403
G116_114_115,B1279|B685,B882|B884|B1486|B1863|B1952|B919
G118_116_117,B882|B1486|B680,B606
G120_118_119,B884|B1283|B679|B681|B695,
G121_109_120,B1289|B450|B388|B703|B402|B389|B662|B471|B1863|B636|B650|B649|B645|B667|B1952|B409|B1288|B1697|B403|B400,B882|B884|B1283|B1279|B1845
G123_121_122,B592|B510|B1283|B495|B491|B569|B668|B21|B456|B431,B2247|B2235|B1992|B2239|B2469|B2387|B2175
G126_124_125,B2433|B973|B2425|B2424|B2432,B630
G128_126_127,B2223|B2233|B2265|B2253|B2222|B2214|B2268|B2257|B2241|B2240|B2255|B2251|B2228|B2254|B2232|B2252,B2363|B1865|B2355|B2365|B2358
G130_128_129,B2239|B2264|B2234|B2272,B2469
G132_130_131,B1735|B2224|B2260|B2040|B2242|B2355|B2358|B2244|B2221,B2239
G134_132_133,B2271|B2243|B2220|B2428|B2266|B2263|B2230|B592|B1068|B2363|B2219|B2245|B2365|B630,B1955|B1992|B2387|B585|B781
G136_134_135,B1955|B2258|B510|B2259|B2246|B781,B499|B608|B50|B477|B442|B605|B1282|B467|B1279|B647|B444|B606|B497|B1845|B480|B479|B476|B436|B630|B692|B433|B919
G137_123_136,B2247|B2235|B594|B2239|B2469|B2387|B2175,B1796|B904|B1720|B510|B1283|B1766|B491|B645|B12|B456|B762
G138_98_137,B561,B1765|B21|B1859|B1860|B1967
