Gene,Refseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS18,NP_955387.1,B561,B1044,B499,B1092,B1035,B687,B1752,B1090,B50,B1007,B477,B1027,B1096,B882,B594,B1085,B1115,B592,B710,B1068,B510,B884,B563,B1074,B442,B519,B1073,B560,B522,B527,B1036,B491,B1087,B1033,B1075,B1082,B467,B1031,B1063,B1067,B444,B497,B1030,B557,B509,B1095,B1106,B12,B21,B479,B456,B1751,B476,B1174,B583,B1100,B431,B1043,B686,B585,B1062,B1022,B436,B630,B1112,B1045,B433,B547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL4,XP_011507946.1,B561,B1732,B2211,B657,B2173,B2182,B2181,B1188,B2193,B2183,B2419,B2168,B2153,B594,B592,B710,B1068,B2195,B510,B2188,B563,B2194,B2174,B560,B522,B527,B2422,B2165,B2203,B2417,B647,B2139,B645,B2189,B2418,B557,B509,B658,B2210,B2175,B583,B2185,B2421,B2199,B2420,B2196,B2200,B585,B630,B2201,B2172,B547,B2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL3,XP_011520124.1,B561,B2334,B2055,B657,B2092,B2048,B2049,B894,B2045,B2330,B1156,B2091,B2056,B882,B2338,B2343,B510,B884,B2332,B563,B1283,B519,B1863,B2047,B2335,B2052,B560,B2337,B522,B527,B1282,B2396,B2042,B2391,B1279,B647,B2331,B645,B2054,B557,B509,B658,B2093,B2395,B2394,B2023,B630,B2393,B2339,B2118,B919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL6,NP_001381461.1,B561,B2130,B1732,B2163,B2155,B2134,B657,B2173,B1188,B2168,B2153,B594,B592,B710,B1068,B510,B563,B2145,B519,B2174,B560,B2353,B522,B527,B2160,B2165,B2156,B2180,B2158,B2203,B2151,B647,B2132,B2139,B645,B2140,B2143,B557,B509,B658,B2124,B2159,B2210,B2142,B2175,B583,B2147,B2199,B2200,B585,B630,B2201,B2172,B547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPLN,NP_001352835.1,B561,B2223,B2247,B2271,B2233,B1735,B2265,B2243,B657,B2258,B2220,B2253,B687,B2266,B2235,B2222,B2263,B882,B2433,B594,B2239,B2230,B2214,B592,B2268,B710,B1068,B2257,B510,B884,B563,B2425,B2241,B2224,B519,B2260,B2259,B560,B2240,B522,B527,B2251,B2228,B2219,B2242,B2264,B557,B509,B658,B2246,B2245,B2175,B583,B2234,B2272,B686,B2254,B2244,B2232,B2424,B2252,B2221,B547,B2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS12,XP_016865394.1,B561,B2026,B1331,B499,B1248,B657,B1262,B1272,B687,B1250,B1333,B50,B477,B1249,B1993,B882,B1810,B594,B1318,B592,B510,B1271,B1305,B884,B1320,B563,B1283,B1332,B442,B1312,B519,B1269,B1251,B1264,B560,B1317,B1306,B522,B527,B605,B491,B1282,B1811,B467,B1253,B1279,B444,B606,B1315,B1260,B1307,B509,B658,B480,B21,B479,B456,B476,B583,B431,B1808,B686,B1328,B1316,B1325,B1336,B585,B1245,B1247,B436,B630,B692,B762,B433,B547,B1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS7,XP_005254194.1,B1818,B561,B1289,B1431,B499,B1449,B657,B1272,B1434,B1447,B1450,B50,B477,B882,B594,B1304,B592,B510,B1271,B1305,B884,B563,B1429,B1293,B1283,B1454,B442,B1444,B1312,B911,B519,B1436,B1287,B1269,B1426,B560,B1317,B1306,B522,B1290,B527,B491,B1282,B1286,B467,B1279,B444,B1453,B1315,B1455,B1307,B1432,B509,B658,B1443,B480,B21,B479,B1919,B456,B1452,B1433,B476,B1918,B583,B1995,B431,B1288,B1328,B1316,B1451,B585,B1464,B436,B630,B762,B433,B1435,B910,B547,B1430,B1917,,,,,,,,,,,,,,,,,,,,,,
ADAMTS6,NP_922932.2,B1864,B561,B598,B450,B411,B499,B657,B388,B383,B384,B50,B477,B594,B402,B592,B510,B563,B389,B495,B662,B442,B471,B519,B1863,B560,B636,B522,B527,B491,B569,B650,B467,B647,B444,B649,B398,B645,B497,B667,B410,B668,B409,B557,B509,B658,B480,B21,B479,B456,B476,B583,B431,B392,B585,B412,B634,B436,B403,B630,B433,B1861,B407,B547,B400,B919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS10,NP_112219.3,B561,B1289,B450,B499,B657,B388,B50,B477,B703,B594,B402,B592,B710,B510,B671,B563,B389,B495,B662,B442,B471,B519,B560,B636,B679,B522,B527,B491,B569,B676,B467,B444,B683,B497,B667,B668,B409,B557,B509,B658,B480,B21,B479,B456,B476,B685,B681,B431,B673,B1288,B702,B680,B1697,B585,B695,B436,B630,B433,B674,B547,B400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS5,NP_008969.2,B561,B1583,B1602,B1605,B499,B1593,B1594,B2029,B50,B477,B1595,B1610,B1945,B1588,B773,B510,B1601,B1607,B563,B1578,B442,B1617,B1603,B519,B1575,B560,B1580,B522,B527,B491,B467,B1597,B444,B1577,B1598,B557,B509,B12,B480,B479,B456,B476,B431,B1608,B436,B762,B1944,B433,B1591,B781,B1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
